category,language_pair,src_lang,tgt_lang,direction,late_submission,system_type,team,system,instrument,score
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB-IIITM,DELAB-IIITM_primary,BERTScore,85.55
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB-IIITM,DELAB-IIITM_primary,COMET,80.84
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,MTG-LIRA,MTG-LIRA_primary,BLEU,12.17
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,MTG-LIRA,MTG-LIRA_primary,METEOR,33.74
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,MTG-LIRA,MTG-LIRA_primary,TER,71.46
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,MTG-LIRA,MTG-LIRA_primary,CHRF++,45.05
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,MTG-LIRA,MTG-LIRA_primary,BERTScore,84.51
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,MTG-LIRA,MTG-LIRA_primary,COMET,78.57
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,CIT MT BTECH 2026,CIT MT BTECH 2026_primary,BLEU,0.34
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,CIT MT BTECH 2026,CIT MT BTECH 2026_primary,METEOR,5.9
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,CIT MT BTECH 2026,CIT MT BTECH 2026_primary,TER,115.43
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,CIT MT BTECH 2026,CIT MT BTECH 2026_primary,CHRF++,15.67
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,CIT MT BTECH 2026,CIT MT BTECH 2026_primary,BERTScore,71.95
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,CIT MT BTECH 2026,CIT MT BTECH 2026_primary,COMET,52.0
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,gators,gators_contrastive,BLEU,20.77
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,gators,gators_contrastive,METEOR,44.71
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,gators,gators_contrastive,TER,60.06
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,gators,gators_contrastive,CHRF++,52.81
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,gators,gators_contrastive,BERTScore,86.98
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,gators,gators_contrastive,COMET,83.27
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BRS-NK,BRS-NK_contrastive,BLEU,17.53
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BRS-NK,BRS-NK_contrastive,METEOR,40.53
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BRS-NK,BRS-NK_contrastive,TER,63.22
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BRS-NK,BRS-NK_contrastive,CHRF++,50.77
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BRS-NK,BRS-NK_contrastive,BERTScore,86.35
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BRS-NK,BRS-NK_contrastive,COMET,82.18
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RozarNLP-cr7,RozarNLP-cr7_contrastive,BLEU,15.99
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RozarNLP-cr7,RozarNLP-cr7_contrastive,METEOR,40.84
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RozarNLP-cr7,RozarNLP-cr7_contrastive,TER,64.43
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RozarNLP-cr7,RozarNLP-cr7_contrastive,CHRF++,50.49
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RozarNLP-cr7,RozarNLP-cr7_contrastive,BERTScore,86.43
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RozarNLP-cr7,RozarNLP-cr7_contrastive,COMET,82.54
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,BLEU,15.08
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,METEOR,39.13
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,TER,65.48
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,CHRF++,49.77
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,BERTScore,86.05
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,COMET,81.95
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,Decepticons-IIITH,Decepticons-IIITH_contrastive,BLEU,15.0
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,Decepticons-IIITH,Decepticons-IIITH_contrastive,METEOR,36.44
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,Decepticons-IIITH,Decepticons-IIITH_contrastive,TER,72.29
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,Decepticons-IIITH,Decepticons-IIITH_contrastive,CHRF++,48.98
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,Decepticons-IIITH,Decepticons-IIITH_contrastive,BERTScore,85.83
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,Decepticons-IIITH,Decepticons-IIITH_contrastive,COMET,81.65
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DELAB-IIITM,DELAB-IIITM_contrastive,BLEU,14.9
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DELAB-IIITM,DELAB-IIITM_contrastive,METEOR,36.52
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DELAB-IIITM,DELAB-IIITM_contrastive,TER,67.03
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DELAB-IIITM,DELAB-IIITM_contrastive,CHRF++,47.51
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DELAB-IIITM,DELAB-IIITM_contrastive,BERTScore,85.36
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DELAB-IIITM,DELAB-IIITM_contrastive,COMET,82.01
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive2,BLEU,14.73
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive2,METEOR,38.2
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive2,TER,66.16
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive2,CHRF++,49.07
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive2,BERTScore,85.74
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive2,COMET,81.6
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,MTG-LIRA,MTG-LIRA_contrastive,BLEU,14.44
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,MTG-LIRA,MTG-LIRA_contrastive,METEOR,36.58
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,MTG-LIRA,MTG-LIRA_contrastive,TER,66.79
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,MTG-LIRA,MTG-LIRA_contrastive,CHRF++,47.04
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,MTG-LIRA,MTG-LIRA_contrastive,BERTScore,85.32
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,MTG-LIRA,MTG-LIRA_contrastive,COMET,79.44
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_1,BLEU,14.01
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_1,METEOR,34.75
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_1,TER,69.34
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_1,CHRF++,46.63
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_1,BERTScore,84.87
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_1,COMET,81.6
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,BVSLP,BVSLP_contrastive,BLEU,12.86
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,BVSLP,BVSLP_contrastive,METEOR,33.7
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,BVSLP,BVSLP_contrastive,TER,76.53
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,BVSLP,BVSLP_contrastive,CHRF++,46.73
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,BVSLP,BVSLP_contrastive,BERTScore,85.07
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,BVSLP,BVSLP_contrastive,COMET,80.58
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,CIT MT BTECH 2026,CIT MT BTECH 2026_contrastive,BLEU,10.78
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,CIT MT BTECH 2026,CIT MT BTECH 2026_contrastive,METEOR,31.0
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,CIT MT BTECH 2026,CIT MT BTECH 2026_contrastive,TER,81.0
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,CIT MT BTECH 2026,CIT MT BTECH 2026_contrastive,CHRF++,44.42
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,CIT MT BTECH 2026,CIT MT BTECH 2026_contrastive,BERTScore,84.88
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,contrastive,CIT MT BTECH 2026,CIT MT BTECH 2026_contrastive,COMET,80.34
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_2,BLEU,9.41
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_2,METEOR,28.35
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_2,TER,81.81
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_2,CHRF++,41.22
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_2,BERTScore,83.77
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,LTRC_Plural,LTRC_Plural_contrastive_2,COMET,78.57
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,gators,gators_primary,BLEU,27.26
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,gators,gators_primary,METEOR,60.5
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,gators,gators_primary,TER,64.78
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,gators,gators_primary,CHRF++,57.43
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,gators,gators_primary,BERTScore,95.09
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,gators,gators_primary,COMET,86.53
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,EROL,EROL_primary,BLEU,25.1
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,EROL,EROL_primary,METEOR,59.33
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,EROL,EROL_primary,TER,64.72
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,EROL,EROL_primary,CHRF++,55.39
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,EROL,EROL_primary,BERTScore,94.9
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,EROL,EROL_primary,COMET,85.86
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,BLEU,24.37
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,METEOR,59.55
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,TER,67.94
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,CHRF++,55.63
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,BERTScore,94.77
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,COMET,85.79
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,ADI-KIIT,ADI-KIIT_primary,BLEU,24.08
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,ADI-KIIT,ADI-KIIT_primary,METEOR,57.32
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,ADI-KIIT,ADI-KIIT_primary,TER,67.59
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,ADI-KIIT,ADI-KIIT_primary,CHRF++,54.28
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,ADI-KIIT,ADI-KIIT_primary,BERTScore,94.69
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,ADI-KIIT,ADI-KIIT_primary,COMET,85.43
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TIP-RBG-AI,TIP-RBG-AI_primary,BLEU,23.91
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TIP-RBG-AI,TIP-RBG-AI_primary,METEOR,58.24
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TIP-RBG-AI,TIP-RBG-AI_primary,TER,68.33
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TIP-RBG-AI,TIP-RBG-AI_primary,CHRF++,54.79
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TIP-RBG-AI,TIP-RBG-AI_primary,BERTScore,94.66
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TIP-RBG-AI,TIP-RBG-AI_primary,COMET,85.55
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,BLEU,23.5
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,METEOR,57.95
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,TER,67.2
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,CHRF++,54.08
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,BERTScore,94.56
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,COMET,85.49
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,BLEU,22.27
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,METEOR,51.88
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,TER,63.62
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,CHRF++,48.75
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,BERTScore,94.56
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,COMET,84.34
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,LTRC_Plural,LTRC_Plural_primary,BLEU,22.09
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,LTRC_Plural,LTRC_Plural_primary,METEOR,56.67
Category 1,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,LTRC_Plural,LTRC_Plural_primary,TER,68.6
