category,language_pair,src_lang,tgt_lang,direction,late_submission,system_type,team,system,instrument,score
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive2,METEOR,0.7094855156
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive2,ROUGE-L,0.6942151291
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive2,chrF,67.41780923
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive2,TER,60.75787287
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive2,Cos Similarity,0.9286215888
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,RBG-AI,RBG-AI_contrastive,BLEU,15.26861832
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,RBG-AI,RBG-AI_contrastive,METEOR,0.6255895675
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,RBG-AI,RBG-AI_contrastive,ROUGE-L,0.6317501844
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,RBG-AI,RBG-AI_contrastive,chrF,60.35649125
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,RBG-AI,RBG-AI_contrastive,TER,68.49674981
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,RBG-AI,RBG-AI_contrastive,Cos Similarity,0.8824237949
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DELAB_IIITM,DELAB_IIITM_primary,BLEU,15.02098368
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DELAB_IIITM,DELAB_IIITM_primary,METEOR,0.6036783635
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DELAB_IIITM,DELAB_IIITM_primary,ROUGE-L,0.6051298986
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DELAB_IIITM,DELAB_IIITM_primary,chrF,59.37407705
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DELAB_IIITM,DELAB_IIITM_primary,TER,75.2476856
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DELAB_IIITM,DELAB_IIITM_primary,Cos Similarity,0.8692749047
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,BVSLP,BVSLP_primary,BLEU,14.90698584
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,BVSLP,BVSLP_primary,METEOR,0.6152953104
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,BVSLP,BVSLP_primary,ROUGE-L,0.6125623657
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,BVSLP,BVSLP_primary,chrF,60.29148355
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,BVSLP,BVSLP_primary,TER,71.32659784
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,BVSLP,BVSLP_primary,Cos Similarity,0.8930161657
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,BLEU,12.67749328
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,METEOR,0.004179757868
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,ROUGE-L,0.6006931423
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,chrF,57.69060254
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,TER,88.4327697
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,Cos Similarity,0.8490538802
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,AkibaNLP-TUT,AkibaNLP-TUT,BLEU,12.27930667
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,AkibaNLP-TUT,AkibaNLP-TUT,METEOR,0.5390739004
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,AkibaNLP-TUT,AkibaNLP-TUT,ROUGE-L,0.5570187346
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,AkibaNLP-TUT,AkibaNLP-TUT,chrF,55.6091601
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,AkibaNLP-TUT,AkibaNLP-TUT,TER,78.23956082
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,AkibaNLP-TUT,AkibaNLP-TUT,Cos Similarity,0.8260435719
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,MT@HLT-BLR_Amrtita,MT@HLT-BLR_Amrtita_primary,BLEU,10.57549234
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,MT@HLT-BLR_Amrtita,MT@HLT-BLR_Amrtita_primary,METEOR,0.6094129187
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,MT@HLT-BLR_Amrtita,MT@HLT-BLR_Amrtita_primary,ROUGE-L,0.5393322554
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,MT@HLT-BLR_Amrtita,MT@HLT-BLR_Amrtita_primary,chrF,58.06269233
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,MT@HLT-BLR_Amrtita,MT@HLT-BLR_Amrtita_primary,TER,148.9106937
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,MT@HLT-BLR_Amrtita,MT@HLT-BLR_Amrtita_primary,Cos Similarity,0.875474216
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,Transformers,Transformers_primary,BLEU,7.627036843
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,Transformers,Transformers_primary,METEOR,0.4368752387
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,Transformers,Transformers_primary,ROUGE-L,0.4717585705
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,Transformers,Transformers_primary,chrF,47.3556329
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,Transformers,Transformers_primary,TER,102.5463121
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,Transformers,Transformers_primary,Cos Similarity,0.7432884371
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,JU-NLP,JU-NLP_primary,BLEU,0.3715729495
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,JU-NLP,JU-NLP_primary,METEOR,0.01272716214
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,JU-NLP,JU-NLP_primary,ROUGE-L,0.02249613779
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,JU-NLP,JU-NLP_primary,chrF,14.25939258
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,JU-NLP,JU-NLP_primary,TER,116.7097333
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,JU-NLP,JU-NLP_primary,Cos Similarity,0.03881009858
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,constrained,A3-108,A3-108_constraint,BLEU,0.3339891515
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,constrained,A3-108,A3-108_constraint,METEOR,0.02300372554
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,constrained,A3-108,A3-108_constraint,ROUGE-L,0.02141886153
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,constrained,A3-108,A3-108_constraint,chrF,17.5031311
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,constrained,A3-108,A3-108_constraint,TER,286.2820616
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,constrained,A3-108,A3-108_constraint,Cos Similarity,0.07746782952
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive1,BLEU,0.3339891515
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive1,METEOR,0.02300251878
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive1,ROUGE-L,0.02141886153
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive1,chrF,17.50418899
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive1,TER,286.3153949
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive1,Cos Similarity,0.07743314794
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive2,BLEU,0.3331121774
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive2,METEOR,0.02292113856
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive2,ROUGE-L,0.02130759215
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive2,chrF,17.5031934
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive2,TER,286.2066085
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,A3-108,A3-108_contrastive2,Cos Similarity,0.07747176906
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,A3-108,A3-108_primary,BLEU,0.3331121774
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,A3-108,A3-108_primary,METEOR,0.02292113856
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,A3-108,A3-108_primary,ROUGE-L,0.02130759215
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,A3-108,A3-108_primary,chrF,17.5031934
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,A3-108,A3-108_primary,TER,286.2066085
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,A3-108,A3-108_primary,Cos Similarity,0.07747176906
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive2,BLEU,67.50020278
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive2,METEOR,0.7716218802
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive2,ROUGE-L,0.01736666667
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive2,chrF,82.46069347
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive2,TER,28.117068
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,TranssionMT,TranssionMT_primary,BLEU,20.96623223
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,TranssionMT,TranssionMT_primary,METEOR,0.4701601603
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,TranssionMT,TranssionMT_primary,ROUGE-L,0.002257142857
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,TranssionMT,TranssionMT_primary,chrF,61.56725086
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,TranssionMT,TranssionMT_primary,TER,62.18014211
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive1,BLEU,19.28887033
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive1,METEOR,0.4506138063
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive1,ROUGE-L,0.0062
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive1,chrF,60.3942656
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive1,TER,63.86362889
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,BLEU,17.64378703
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,METEOR,0.4224045
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,ROUGE-L,0.00739047619
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,chrF,57.71314574
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,TER,74.80842234
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,BLEU,17.53525779
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,METEOR,0.4223516459
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,ROUGE-L,0.00739047619
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,chrF,57.74594997
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,TER,71.17163173
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,JU-NLP,JU-NLP_primary,BLEU,16.7158074
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,JU-NLP,JU-NLP_primary,METEOR,0.4122344437
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,JU-NLP,JU-NLP_primary,ROUGE-L,0.003857142857
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,JU-NLP,JU-NLP_primary,chrF,57.22029474
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,JU-NLP,JU-NLP_primary,TER,70.68942578
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB_IIITM,DELAB_IIITM_primary,BLEU,16.10512869
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB_IIITM,DELAB_IIITM_primary,METEOR,0.4064603257
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB_IIITM,DELAB_IIITM_primary,ROUGE-L,0.003
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB_IIITM,DELAB_IIITM_primary,chrF,55.7020685
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB_IIITM,DELAB_IIITM_primary,TER,68.32429763
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,AkibaNLP-TUT,AkibaNLP-TUT_primary,BLEU,14.03027117
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,AkibaNLP-TUT,AkibaNLP-TUT_primary,METEOR,0.3763497202
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,AkibaNLP-TUT,AkibaNLP-TUT_primary,ROUGE-L,0.01319047619
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,AkibaNLP-TUT,AkibaNLP-TUT_primary,chrF,53.75837038
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,AkibaNLP-TUT,AkibaNLP-TUT_primary,TER,74.08270628
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BilbaoMT,BilbaoMT_contrastive,BLEU,10.2294979
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BilbaoMT,BilbaoMT_contrastive,METEOR,0.284482303
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BilbaoMT,BilbaoMT_contrastive,ROUGE-L,0.008416666667
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BilbaoMT,BilbaoMT_contrastive,chrF,43.99794145
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,BilbaoMT,BilbaoMT_contrastive,TER,77.84440595
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RBG-AI,RBG-AI_contrastive,BLEU,9.09144366
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RBG-AI,RBG-AI_contrastive,METEOR,0.2809088311
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RBG-AI,RBG-AI_contrastive,ROUGE-L,0.006
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RBG-AI,RBG-AI_contrastive,chrF,45.47980822
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,RBG-AI,RBG-AI_contrastive,TER,81.72841243
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Transformers,Transformers_primary,BLEU,6.919221523
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Transformers,Transformers_primary,METEOR,0.2336551578
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Transformers,Transformers_primary,ROUGE-L,0.001
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Transformers,Transformers_primary,chrF,41.91729444
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Transformers,Transformers_primary,TER,89.9924611
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,constrained,A3-108,A3-108_constraint,BLEU,3.028733907
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,constrained,A3-108,A3-108_constraint,METEOR,0.1145401
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,constrained,A3-108,A3-108_constraint,ROUGE-L,0
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,constrained,A3-108,A3-108_constraint,chrF,31.63489746
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,constrained,A3-108,A3-108_constraint,TER,108.9135436
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,A3-108,A3-108_contrastive1,BLEU,3.025539183
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,A3-108,A3-108_contrastive1,METEOR,0.1136755279
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,A3-108,A3-108_contrastive1,ROUGE-L,0
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,A3-108,A3-108_contrastive1,chrF,31.29602854
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,A3-108,A3-108_contrastive1,TER,107.3300783
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,A3-108,A3-108_primary,BLEU,2.969402388
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,A3-108,A3-108_primary,METEOR,0.1126309043
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,A3-108,A3-108_primary,ROUGE-L,0
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,A3-108,A3-108_primary,chrF,31.45660793
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,A3-108,A3-108_primary,TER,107.3458896
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,A3-108,A3-108_contrastive2,BLEU,2.925588316
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,A3-108,A3-108_contrastive2,METEOR,0.1089435228
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,A3-108,A3-108_contrastive2,ROUGE-L,0
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,A3-108,A3-108_contrastive2,chrF,30.48678405
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,contrastive,A3-108,A3-108_contrastive2,TER,104.256073
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,BLEU,1.810109903
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,METEOR,0.05849541589
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,ROUGE-L,0.003
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,chrF,27.45025141
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,TER,98.66174223
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Hope for best,Hope for best,BLEU,0
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Hope for best,Hope for best,METEOR,0
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Hope for best,Hope for best,ROUGE-L,0
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Hope for best,Hope for best,chrF,1.431905447
,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Hope for best,Hope for best,TER,152.0370543
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive1,BLEU,4.486817637
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive1,METEOR,0.1642042604
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive1,ROUGE-L,0.0125
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive1,chrF,44.11435827
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,TranssionMT,TranssionMT_contrastive1,TER,85.96146902
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,BLEU,4.15145205
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,METEOR,0.1464458762
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,ROUGE-L,0.009866666667
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,chrF,41.43192248
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,TER,89.59891851
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,JU-NLP,JU-NLP_primary,BLEU,4.124431863
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,JU-NLP,JU-NLP_primary,METEOR,0.155396225
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,JU-NLP,JU-NLP_primary,ROUGE-L,0.01133333333
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,JU-NLP,JU-NLP_primary,chrF,43.86698405
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,JU-NLP,JU-NLP_primary,TER,93.16072622
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,RBG-AI,RBG-AI_contrastive,BLEU,4.105991408
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,RBG-AI,RBG-AI_contrastive,METEOR,0.1441800197
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,RBG-AI,RBG-AI_contrastive,ROUGE-L,0.003666666667
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,RBG-AI,RBG-AI_contrastive,chrF,40.63731143
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,RBG-AI,RBG-AI_contrastive,TER,90.03920739
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,TranssionMT,TranssionMT_primary,BLEU,3.661516104
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,TranssionMT,TranssionMT_primary,METEOR,0.1349213171
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,TranssionMT,TranssionMT_primary,ROUGE-L,0.01
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,TranssionMT,TranssionMT_primary,chrF,38.64278683
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,TranssionMT,TranssionMT_primary,TER,92.7579509
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,BLEU,3.258313409
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,METEOR,0
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,ROUGE-L,0.009333333333
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,chrF,39.52102429
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,contrastive,SRIB-NMT,SRIB-NMT_contrastive,TER,104.7976328
,English to Manipuri,eng_Latn,mni_Beng,en2indic,False,primary,DELAB_IIITM,DELAB_IIITM_primary,BLEU,3.151659285
